word	Frecuencia
decisión	20470
necesidad	20465
duda	20411
capacidad	20239
estudio	20165
diez	20150
dólares	20078
ministerio	20040
defensa	19991
mundial	19982
televisión	19932
serie	19850
quiero	19764
sociales	19676
datos	19612
base	19597
investigación	19535
época	19450
control	19417
queda	19397
hijos	19318
cuya	19317
pasar	19303
civil	19279
salud	19270
paz	19251
juego	19192
presente	19170
niño	19113
resultados	19091
educación	19023
universidad	19013
derechos	18996
resultado	18843
conjunto	18809
maría	18796
recursos	18781
alguien	18741
atención	18734
allá	18720
izquierda	18715
partidos	18671
importancia	18655
contrario	18593
menor	18592
pasa	18566
resto	18554
gracias	18514
administración	18456
palabra	18362
seguir	18242
antonio	18233
salir	18221
fuerte	18206
causa	18175
calidad	18144
medida	18116
elecciones	18051
secretario	17910
cuyo	17804
silencio	17801
comunicación	17757
plan	17735
libre	17732
fuentes	17727
parecía	17689
oficial	17588
cine	17505
mesa	17490
cabo	17444
españoles	17442
naturaleza	17407
apoyo	17396
importantes	17382
común	17381
económico	17324
principal	17308
sol	17298
decía	17287
energía	17284
mar	17268
clase	17242
dejar	17213
especialmente	17189
república	17152
experiencia	17129
cantidad	17124
jóvenes	17105
unión	17096
objeto	17088
rey	17086
opinión	17063
función	17052
estudios	17036
superior	17033
posición	17015
única	16948
reunión	16880
color	16871
respuesta	16701
trabajadores	16621
radio	16586
viejo	16571
alta	16568
sangre	16558
evitar	16552
elementos	16502
resulta	16467
partes	16455
pensar	16440
suelo	16395
lucha	16355
plaza	16251
actividades	16235
origen	16219
ejército	16198
boca	16132
pedro	16072
medidas	16052
francia	16016
cargo	16011
américa	15975
tomar	15971
autoridades	15963
autor	15927
miguel	15920
hechos	15906
precisamente	15886
pie	15871
iglesia	15869
existencia	15826
ayuda	15746
productos	15702
régimen	15657
objetivo	15631
teatro	15583
políticas	15553
sabía	15534
línea	15521
quería	15506
crecimiento	15426
acciones	15420
encuentro	15411
muestra	15347
natural	15303
compañía	15296
derecha	15271
carta	15250
seguro	15227
momentos	15190
amigos	15162
artículo	15090
acto	15083
doctor	15057
amigo	15051
viene	15051
formas	15027
consecuencia	14977
región	14963
cuarto	14916
ve	14911
campaña	14874
diario	14852
norte	14848
viaje	14847
metros	14829
argentina	14816
deja	14808
éxito	14780
ambiente	14753
tiempos	14732
actitud	14731
escuela	14725
especie	14701
participación	14681
domingo	14594
formación	14594
finalmente	14563
permite	14560
blanco	14548
marcha	14525
baja	14450
río	14430
principales	14426
espera	14393
mitad	14390
juez	14362
sur	14353
entrada	14333
grande	14284
cuadro	14266
vivir	14166
miedo	14130
cambios	14041
enfermedad	14038
manuel	14024
valores	13993
llegado	13964
mayo	13912
estructura	13895
negro	13883
acerca	13883
mira	13872
ideas	13871
expresión	13828
psoe	13826
santa	13825
construcción	13780
análisis	13763
peso	13755
padres	13750
tales	13743
fácil	13738
conocimiento	13722
pequeño	13714
tratamiento	13710
democracia	13705
materia	13667
humanos	13633
corazón	13629
fecha	13582
mayores	13575
cuestión	13562
unidad	13532
diferencia	13506
fernando	13499
plazo	13483
vino	13472
período	13470
llega	13467
texto	13461
efectos	13459
señora	13441
francisco	13435
práctica	13419
volvió	13419
informe	13397
puerto	13370
cultural	13348
socialista	13318
oposición	13306
carrera	13280
tribunal	13278
industria	13275
pese	13274
médico	13249
volver	13235
asunto	13232
mirada	13221
exterior	13211
llamado	13195
favor	13195
produce	13192
libros	13187
cuba	13180
enero	13152
conciencia	13134
atrás	13115
mantener	13076
cámara	13075
modelo	13074
electoral	13038
sectores	13033
diciembre	13026
fuego	13025
distintos	13021
intereses	13008
salida	12997
técnica	12968
ocasión	12953
fiscal	12949
mejores	12944
comercio	12944
creación	12934
solución	12916
vuelta	12880
entrar	12814
suerte	12808
razones	12806
aumento	12802
pasó	12787
parís	12772
principios	12757
militares	12752
sala	12728
humano	12725
ocasiones	12715
revolución	12691
reforma	12679
precio	12649
características	12647
voluntad	12647
aspectos	12630
recuerdo	12611
puso	12610
capaz	12602
juicio	12553
encontrar	12528
película	12528
programas	12519
zonas	12503
hija	12402
felipe	12401
asimismo	12388
memoria	12348
prueba	12344
primeras	12343
junio	12339
sueño	12296
contenido	12286
operación	12269
título	12267
octubre	12264
cama	12255
toma	12233
fútbol	12223
posibilidades	12187
esfuerzo	12162
asociación	12130
temas	12129
particular	12127
producto	12042
aspecto	12023
vio	12000
costa	11999
muerto	11998
marco	11981
local	11976
constitución	11950
etapa	11935
pequeña	11934
corte	11932
profesional	11932
violencia	11890
armas	11879
dolor	11876
pone	11873
ciencia	11871
distintas	11862
precios	11836
presenta	11817
llama	11809
centros	11790
pregunta	11764
generales	11757
debía	11715
jamás	11714
visita	11694
victoria	11679
suficiente	11632
semanas	11612
diversos	11611
vía	11605
riesgo	11604
propuesta	11588
vuelve	11588
busca	11571
consumo	11541
aparece	11536
área	11530
siguientes	11530
grado	11497
tipos	11480
encuentran	11476
estilo	11469
chile	11463
pp	11454
concepto	11407
instituciones	11394
cielo	11386
carne	11362
instituto	11323
larga	11321
material	11313
perdido	11304
jorge	11283
comenzó	11268
deseo	11238
hermano	11195
lenguaje	11195
dije	11190
cree	11171
líder	11168
oro	11123
humana	11086
abril	11081
términos	11075
diversas	11062
buscar	11024
simple	11018
ambas	11009
podido	11001
imposible	10994
marzo	10964
ido	10937
conocido	10897
septiembre	10892
santiago	10885
rostro	10875
anteriores	10865
curso	10863
destino	10809
nacionales	10807
nación	10798
motivo	10785
piel	10768
departamento	10753
grave	10746
francés	10732
colombia	10731
condición	10721
asuntos	10702
preguntó	10700
trabajos	10674
tercer	10666
terreno	10651
premio	10646
obtener	10604
club	10578
responsabilidad	10545
hospital	10543
ejecutivo	10539
comité	10534
capítulo	10526
noviembre	10525
palacio	10514
escrito	10493
daba	10488
doña	10475
digo	10467
movimientos	10441
término	10430
máximo	10423
propiedad	10420
lengua	10413
niveles	10405
industrial	10398
organismo	10389
doble	10389
ocurre	10386
proyectos	10368
distancia	10352
contacto	10319
ejercicio	10287
peligro	10279
calles	10246
oportunidad	10227
leyes	10224
novela	10217
significa	10209
ciudades	10206
funciones	10197
animales	10196
presión	10195
altura	10189
gusta	10170
junta	10164
selección	10159
gusto	10159
teoría	10157
isla	10154
espíritu	10151
lunes	10115
pensamiento	10108
alma	10097
imágenes	10095
aplicación	10079
esperar	10067
verano	10067
paciente	10058
agosto	10057
lograr	10040
dejado	10037
guardia	10020
exposición	10009
lugares	10007
hotel	10003
par	9988
crear	9966
lista	9965
factores	9947
sistemas	9946
pueblos	9900
tratado	9887
ciudadanos	9886
declaraciones	9877
sitio	9873
realmente	9862
pies	9817
dirigentes	9816
demanda	9804
directamente	9788
maestro	9780
viernes	9750
clara	9735
confianza	9730
brazos	9727
funcionarios	9714
sale	9705
llamada	9698
marido	9684
frecuencia	9670
moral	9667
pequeños	9663
diputados	9654
totalmente	9634
visión	9624
intervención	9605
normal	9598
pobre	9597
supone	9590
javier	9590
municipal	9571
finales	9567
kilómetros	9565
jugadores	9552
objetivos	9540
perder	9535
esposa	9525
fuente	9523
enorme	9522
discurso	9520
veinte	9505
pena	9505
judicial	9496
acceso	9493
necesidades	9462
protección	9459
procesos	9456
circunstancias	9447
entender	9441
conflicto	9436
pesos	9436
presidencia	9416
febrero	9413
oficiales	9410
páginas	9393
representantes	9390
puedan	9384
italia	9377
rosa	9373
temporada	9370
públicas	9356
tantos	9344
pacientes	9336
flores	9321
evolución	9319
técnico	9311
pan	9302
mala	9274
salió	9263
red	9262
fundamental	9256
superficie	9256
escena	9250
golpe	9240
profesionales	9236
alcalde	9231
teléfono	9206
café	9205
propósito	9204
candidato	9203
gesto	9201
líneas	9193
gestión	9193
contar	9189
venta	9165
ofrece	9164
física	9151
parlamento	9151
abajo	9150
rafael	9108
coche	9107
alemania	9105
diferencias	9099
inversión	9099
diálogo	9096
calor	9092
mamá	9091
tarea	9086
clases	9084
constituye	9080
personajes	9074
casas	9063
territorio	9050
responsable	9036
llevó	9034
documento	9023
cambiar	9004
europeo	8999
tono	8996
internacionales	8995
aguas	8985
europea	8978
pintura	8975
alberto	8974
intención	8951
establecer	8947
alcanzar	8941
públicos	8932
efe	8932
respeto	8916
frío	8910
influencia	8901
pasos	8880
literatura	8877
fenómeno	8863
nombres	8860
asamblea	8860
autores	8856
ayuntamiento	8851
comercial	8840
gonzález	8832
dando	8823
conferencia	8805
ritmo	8794
pruebas	8785
fines	8769
estudiantes	8763
copa	8762
necesita	8760
audiencia	8751
locales	8750
técnicas	8745
jesús	8742
crítica	8730
señala	8721
conducta	8720
ganar	8719
afirma	8716
actualidad	8715
pudiera	8710
familiar	8698
normas	8690
nueve	8677
triunfo	8673
cumplir	8672
empezó	8654
leche	8651
sábado	8649
blanca	8642
debería	8622
cabe	8617
representación	8615
labor	8598
equipos	8592
refiere	8575
sensación	8575
tradición	8566
jugar	8550
muertos	8545
compañeros	8540
sujeto	8531
periódico	8521
parecer	8514
mantiene	8512
competencia	8511
profesor	8486
alimentos	8479
consecuencias	8478
declaración	8474
objetos	8472
vecinos	8467
pagar	8465
mensaje	8451
mil	8444
debate	8443
treinta	8442
iban	8441
comer	8435
referencia	8434
quieren	8433
hacerse	8422
vi	8416
declaró	8407
pidió	8407
definitiva	8401
venezuela	8392
edificio	8384
jornada	8381
dicha	8378
fondos	8372
médicos	8360
dificultades	8357
simplemente	8353
actos	8352
perú	8347
aceite	8341
vive	8325
fig	8324
plano	8320
plantas	8307
cualquiera	8306
justo	8289
posibles	8285
representa	8278
noticia	8277
franco	8273
prácticamente	8261
versión	8257
evidente	8256
actuación	8248
quedado	8245
inmediato	8228
miembro	8221
mario	8210
tratar	8181
suele	8179
recién	8178
niña	8175
caer	8172
ámbito	8168
habitantes	8164
llevaba	8161
materiales	8160
ausencia	8160
fiesta	8150
colegio	8140
ii	8138
naciones	8135
instante	8130
brazo	8110
áreas	8107
corresponde	8091
económicos	8091
cataluña	8083
situaciones	8076
escribir	8075
llegada	8069
deberá	8062
ven	8057
recibió	8047
madera	8043
federal	8042
pleno	8039
haga	8039
ministros	8029
nota	8024
pérdida	8024
museo	8019
fase	8017
provincia	8016
velocidad	8013
veía	8012
institución	7997
puertas	7994
agentes	7991
dispuesto	7990
recibir	7988
tamaño	7976
tierras	7962
transporte	7961
próxima	7950
decidió	7949
habitación	7948
tío	7943
revista	7941
explica	7935
comunidades	7929
autoridad	7928
miles	7928
socialistas	7922
década	7920
personaje	7916
escenario	7879
corriente	7877
mínimo	7869
independencia	7868
abierto	7857
histórico	7847
viento	7846
escritor	7844
presupuesto	7839
convertido	7831
organizaciones	7829
tendencia	7828
votos	7825
secreto	7821
acaba	7805
anunció	7801
produjo	7797
operaciones	7784
probablemente	7781
tantas	7775
familiares	7773
alumnos	7772
pelo	7768
pablo	7767
periodistas	7767
enrique	7765
conoce	7758
esperanza	7753
martes	7750
vieja	7745
brasil	7738
alfonso	7732
antiguo	7716
quiso	7705
the	7700
familias	7698
posteriormente	7693
reciente	7685
división	7683
cocina	7679
pretende	7679
entrevista	7676
debemos	7671
siguen	7668
igualmente	7656
piernas	7656
doce	7653
reina	7639
planta	7635
identidad	7616
aparte	7613
completo	7609
comienza	7608
hacienda	7605
comida	7603
rato	7597
alemán	7591
presentó	7579
naturales	7568
verde	7567
error	7564
especies	7554
barrio	7554
piso	7536
volumen	7534
hojas	7526
eta	7520
piensa	7519
recordar	7515
comportamiento	7509
disposición	7508
estrategia	7498
eduardo	7487
necesaria	7486
funcionamiento	7470
compromiso	7469
juegos	7468
reacción	7465
económicas	7462
aparición	7455
ingresos	7454
abogado	7442
oficina	7441
consiste	7440
parecen	7438
cuidado	7435
sentía	7434
colores	7430
soldados	7430
recibido	7419
pago	7413
cárcel	7413
elección	7413
pequeñas	7401
decisiones	7400
piedra	7398
incremento	7397
liga	7396
entra	7392
distribución	7377
garcía	7376
suma	7372
edición	7372
trataba	7367
procedimiento	7365
podían	7359
iniciativa	7359
logró	7357
darle	7356
poeta	7355
cadena	7355
sede	7354
plata	7353
jueves	7338
utilizar	7329
portavoz	7328
similar	7315
querido	7313
ventana	7310
quieres	7305
deuda	7302
ramón	7300
regional	7300
animal	7297
cuyos	7293
canal	7289
norteamericano	7284
continuación	7279
medicina	7276
inglés	7271
venido	7244
privada	7237
personalidad	7234
federación	7234
bienes	7233
altos	7230
parque	7222
ataque	7218
fe	7217
abierta	7213
preciso	7207
tradicional	7203
investigaciones	7202
regiones	7201
entidad	7197
directa	7196
enfermedades	7195
firma	7183
siglos	7183
hermanos	7178
seres	7172
responsables	7161
tanta	7156
filosofía	7151
sirve	7149
temperatura	7149
presentar	7139
ropa	7137
elemento	7136
sombra	7132
alianza	7123
decidido	7118
carga	7110
extranjeros	7108
santo	7103
luna	7098
causas	7096
empresarios	7094
figuras	7092
permanente	7084
método	7070
huelga	7067
marca	7066
leer	7063
oferta	7062
margen	7055
presentación	7051
azul	7043
noticias	7040
acaso	7031
acuerdos	7029
búsqueda	7028
tomó	7020
constitucional	7014
concepción	7014
gobernador	7010
aparecen	6998
juntos	6997
cuello	6996
pobres	6995
puestos	6995
constante	6991
sevilla	6986
bancos	6986
resolver	6984
quedan	6984
comienzo	6981
labios	6974
contrato	6974
hermana	6965
abrir	6958
logrado	6956
matrimonio	6942
frase	6937
llegaron	6932
hará	6928
importa	6926
morir	6924
sorpresa	6924
documentos	6922
caja	6915
gastos	6907
generalmente	6906
extremo	6906
caída	6904
pareja	6902
londres	6898
martín	6896
bolsa	6896
encontraba	6889
masa	6888
titular	6867
previsto	6867
ana	6859
clave	6833
dormir	6832
reducción	6825
culpa	6824
washington	6819
producido	6814
menores	6811
preocupación	6793
terminar	6791
miércoles	6790
considerar	6788
carmen	6788
esfuerzos	6776
preguntas	6776
espectáculo	6769
colaboración	6766
mente	6764
crédito	6761
original	6753
bases	6752
feliz	6751
democrática	6747
hablando	6746
roma	6744
negocio	6743
llevado	6729
oído	6728
quince	6714
diputado	6705
decreto	6700
europeos	6698
ee	6696
tecnología	6689
plena	6686
cartas	6682
películas	6678
detalles	6671
sentir	6666
sacar	6666
dirigente	6658
veo	6656
graves	6655
únicamente	6651
cien	6647
vas	6644
entrega	6636
miró	6634
corto	6628
artista	6624
vuelto	6624
límites	6621
impresión	6620
negociaciones	6619
caballo	6615
jaime	6613
planes	6605
juventud	6601
fundación	6598
piezas	6592
seguía	6591
carretera	6591
noches	6582
negocios	6579
mejorar	6579
exteriores	6577
inmediatamente	6573
cuarenta	6569
encontró	6568
correspondiente	6567
producir	6560
técnicos	6555
género	6554
voto	6552
serio	6544
privado	6537
actuales	6537
equilibrio	6535
valencia	6533
indica	6532
beneficios	6529
artistas	6523
llamar	6523
salón	6518
reino	6516
periodista	6511
aceptar	6509
ocurrido	6501
perfectamente	6500
integración	6500
realiza	6499
ocurrió	6496
pienso	6493
cifra	6487
siento	6487
misión	6486
recuperación	6485
explicar	6484
respondió	6476
guatemala	6473
vivo	6471
unidades	6467
conversación	6456
cuerpos	6455
generación	6449
incluye	6446
sonrisa	6444
espalda	6430
rojo	6428
criterios	6425
claramente	6414
individuo	6409
etcétera	6407
china	6390
negra	6381
cuentas	6379
asegura	6372
patria	6372
corrupción	6370
belleza	6370
prisión	6368
interna	6361
pareció	6355
pecho	6350
habitual	6345
papá	6344
antigua	6333
actor	6328
comunista	6328
víctimas	6327
legal	6326
segundos	6324
establece	6324
duro	6319
tráfico	6316
pacto	6314
comprender	6309
extranjero	6309
requiere	6306
dedos	6294
azúcar	6292
depende	6284
fuertes	6279
agencia	6275
temor	6266
interesante	6266
campos	6265
absoluta	6264
físico	6263
realización	6260
venía	6260
creer	6258
gobiernos	6256
jugador	6254
especiales	6243
organismos	6243
resistencia	6242
coronel	6241
concentración	6240
reconocimiento	6240
negociación	6236
aparato	6236
universal	6233
voces	6229
perspectiva	6229
pedir	6227
recuerda	6223
rápido	6220
motivos	6214
diciendo	6210
cincuenta	6200
alegría	6200
lleno	6199
murió	6193
independiente	6192
factor	6190
sexual	6190
sonido	6187
estudiar	6186
penal	6185
posiciones	6184
espacios	6179
histórica	6174
mercados	6172
cuadros	6171
papa	6170
producen	6169
poesía	6161
musical	6156
participar	6156
vacío	6156
lectura	6156
seguramente	6150
cuestiones	6133
constituyen	6130
banda	6129
clima	6129
inicial	6128
democrático	6124
miami	6121
inferior	6116
dudas	6115
publicidad	6107
mirar	6107
intelectual	6105
vehículos	6104
olvidar	6099
actuar	6091
alcance	6077
partida	6071
reconocer	6071
papeles	6070
capitán	6070
sucede	6069
latina	6067
amplio	6064
sexo	6059
criterio	6054
ganado	6050
recurso	6050
llevan	6050
sesión	6047
cooperación	6047
laboral	6046
compra	6038
enseñanza	6033
utilización	6032
categoría	6030
apertura	6027
presentan	6025
abrió	6024
abre	6018
solidaridad	6015
amplia	6013
francesa	6012
numerosos	6011
encontrado	6001
empieza	5998
lluvia	5998
cifras	5995
científico	5994
nicaragua	5986
ciencias	5982
pide	5976
directo	5975
mostró	5970
interpretación	5969
forman	5968
quedaba	5963
formar	5961
extraño	5955
síntomas	5953
punta	5953
conseguido	5952
determinado	5949
liberación	5942
sección	5926
tensión	5920
presentado	5915
escala	5915
conde	5914
árboles	5913
suelen	5907
alcohol	5904
culturales	5903
hacían	5902
seguido	5902
posterior	5898
llena	5894
supo	5893
empleados	5893
ojo	5892
dura	5892
pasando	5890
contexto	5890
viejos	5878
llamó	5870
puesta	5869
personales	5867
venir	5867
inversiones	5867
presentes	5860
instrumento	5857
propuestas	5856
máxima	5846
populares	5845
representante	5844
células	5841
hambre	5837
artículos	5835
científicos	5830
elaboración	5825
vicepresidente	5807
continuar	5807
esperaba	5805
tía	5805
significado	5805
ventaja	5805
quedar	5797
resolución	5797
pausa	5794
basta	5783
pensando	5781
sindicatos	5778
alternativa	5772
roberto	5766
daniel	5763
amenaza	5763
conversaciones	5762
ruido	5761
paro	5758
jardín	5758
código	5753
convertirse	5752
cuyas	5750
distinto	5746
intensidad	5744
ah	5742
madrugada	5736
raíz	5736
rápidamente	5732
reales	5725
pensó	5722
métodos	5720
raúl	5720
servir	5717
completa	5716
delito	5716
reducir	5716
entró	5714
batalla	5713
sentencia	5713
entorno	5711
sociedades	5696
david	5689
negros	5685
cita	5679
instrumentos	5677
xix	5676
semejante	5674
españolas	5674
vestido	5672
turismo	5665
construir	5659
instalaciones	5658
continúa	5656
títulos	5654
avión	5653
comerciales	5652
beneficio	5651
norteamericana	5647
mexicano	5646
tasa	5645
absoluto	5639
candidatos	5636
enfermo	5635
dominio	5631
excepción	5624
órdenes	5623
nuevamente	5622
asesinato	5621
pensaba	5616
siguió	5616
posee	5606
completamente	5599
escuchar	5599
profunda	5596
paredes	5587
recientemente	5585
manifestaciones	5584
mirando	5581
perdió	5576
despacho	5575
cruz	5570
hablaba	5566
ingreso	5563
fórmula	5561
empezar	5558
inicio	5555
múltiples	5555
seguida	5553
víctima	5551
ricardo	5547
llegan	5545
recordó	5540
vehículo	5538
sentimiento	5538
mezcla	5530
geografía	5526
periodo	5526
denuncia	5525
moda	5507
festival	5503
vienen	5498
espejo	5496
pieza	5492
expertos	5488
convierte	5485
comprar	5484
drogas	5483
príncipe	5482
pared	5480
dejando	5480
castillo	5473
registro	5472
porcentaje	5470
accidente	5470
caliente	5469
buscando	5465
darse	5464
ciclo	5456
superiores	5450
secretaría	5447
capaces	5441
nacido	5435
argentino	5433
muchacho	5433
inició	5429
di	5428
lector	5428
viva	5422
postura	5422
explicación	5421
conviene	5417
ganas	5414
funcionario	5412
profundo	5410
críticas	5405
honor	5403
valle	5401
ideal	5398
diego	5396
triste	5395
placer	5394
impuestos	5393
sentimientos	5384
altas	5379
dientes	5376
textos	5368
víctor	5365
acontecimientos	5363
mecanismos	5358
virgen	5357
aumentar	5356
composición	5350
totalidad	5346
foto	5342
gas	5341
comunes	5333
tomado	5332
agricultura	5328
individuos	5319
inteligencia	5318
modelos	5312
baño	5312
considerado	5308
opción	5305
olor	5303
índice	5302
ganó	5298
desarrollar	5296
experiencias	5294
cerebro	5294
inglaterra	5291
exige	5288
horno	5288
preparación	5286
individual	5286
moderna	5286
habló	5282
errores	5281
estatal	5279
haberse	5279
depresión	5277
armadas	5276
policías	5274
señalar	5271
estructuras	5269
entidades	5264
italiano	5263
consideran	5263
esencial	5257
firme	5255
global	5255
disco	5254
supremo	5250
absolutamente	5249
cargos	5247
fotografía	5246
distinta	5244
polvo	5241
humor	5240
pintor	5240
conceptos	5238
vasco	5238
naturalmente	5232
fracaso	5231
recibe	5229
complejo	5228
acabar	5228
abandonar	5226
fundamentales	5225
creciente	5220
restos	5219
conocida	5218
terminó	5217
minuto	5217
john	5207
excelente	5202
regreso	5195
página	5192
discusión	5191
perro	5186
déficit	5186
debió	5184
ánimo	5182
vale	5177
reyes	5171
numerosas	5169
detenido	5161
millón	5160
localidad	5157
diseño	5152
sintió	5151
cumbre	5150
sueños	5147
impuesto	5139
fundamentalmente	5132
deporte	5130
gloria	5129
universo	5123
convenio	5122
pasión	5119
jueces	5116
luces	5111
protesta	5111
periódicos	5109
estrellas	5102
permiten	5099
añade	5092
definitivamente	5092
conocimientos	5091
japón	5081
concreto	5081
elegido	5080
recorrido	5074
estación	5071
compañero	5064
lógica	5063
comunicado	5062
derrota	5053
cierre	5048
viven	5046
definición	5042
campesinos	5039
límite	5034
comprobar	5033
parecido	5031
puedes	5029
dosis	5021
esperando	5019
exclusivamente	5016
embajador	5011
inflación	5004
enemigo	4999
interno	4996
crimen	4996
residencia	4993
soledad	4992
eficacia	4989
respectivamente	4985
paisaje	4984
oír	4982
ay	4974
andrés	4970
tareas	4969
costumbre	4969
resultó	4966
interesa	4963
impacto	4960
conocía	4958
pasaba	4952
estadounidense	4951
religión	4947
profesores	4945
autonomía	4935
exactamente	4935
sesenta	4934
componentes	4925
cayó	4912
norteamericanos	4910
asistencia	4903
cambiado	4899
probable	4898
caminos	4897
joaquín	4894
científica	4894
duración	4890
vías	4885
manifestación	4884
convirtió	4883
malo	4878
antiguos	4878
obligado	4877
enfermos	4873
pura	4872
oscuro	4872
vaso	4871
ofrecer	4869
marcos	4868
petróleo	4867
reglas	4867
invierno	4865
máquina	4864
reuniones	4863
municipales	4863
nacimiento	4851
pedido	4850
extensión	4845
apareció	4845
tesis	4840
indios	4835
vivienda	4834
responde	4831
pantalla	4828
adecuada	4826
vos	4822
paseo	4819
determinar	4819
utiliza	4817
toro	4816
presidencial	4813
cuento	4813
implica	4813
acabó	4810
salido	4810
franceses	4805
ejecución	4801
puro	4799
once	4794
oye	4792
consiguió	4787
entiende	4787
occidental	4785
gasto	4783
encontramos	4780
imperio	4779
superar	4776
imaginación	4770
estabilidad	4767
rasgos	4762
frontera	4760
cubano	4760
adecuado	4759
gol	4758
industriales	4753
compañías	4746
soluciones	4744
catalán	4743
marina	4743
dificultad	4741
trabajando	4740
virtud	4735
libres	4735
observar	4734
dirige	4733
petición	4728
potencia	4727
correr	4726
anual	4723
tren	4722
signo	4722
órganos	4718
propiedades	4718
necesarios	4716
responder	4714
distrito	4714
notable	4710
clientes	4709
mando	4709
mecanismo	4706
claridad	4701
redacción	4699
señal	4697
actores	4696
quiera	4693
conclusión	4693
ocupa	4692
lópez	4692
establecido	4691
quedaron	4690
creado	4687
sentado	4682
contiene	4680
hierro	4675
riqueza	4670
detalle	4668
positivo	4668
auto	4667
alcanza	4666
correspondientes	4663
senado	4663
frecuente	4662
promedio	4661
pista	4660
piedras	4659
amistad	4659
puente	4659
hogar	4655
daño	4654
patio	4653
otan	4652
facultad	4648
tropas	4644
vuelo	4644
demostrar	4642
muchacha	4641
reflexión	4637
consideración	4635
editorial	4634
tradicionales	4633
andalucía	4632
obligación	4630
hipótesis	4626
dejan	4626
hecha	4624
relato	4622
llamaba	4622
reconoce	4620
similares	4619
marta	4619
recuperar	4617
costo	4616
deberán	4615
villa	4612
juzgado	4610
eficaz	4608
pensé	4606
orquesta	4605
permitió	4602
descubrir	4601
viviendas	4601
gritos	4599
poderes	4595
ventas	4594
banesto	4594
fría	4589
diagnóstico	4589
realizada	4588
utilizado	4587
silla	4584
publicado	4581
rechazo	4578
prácticas	4576
corta	4575
loco	4574
debo	4574
esquema	4571
líderes	4558
propone	4556
desea	4555
progreso	4553
defender	4550
borde	4548
remedio	4545
rusia	4541
transformación	4538
ayudar	4536
cortes	4535
israel	4534
mental	4532
verse	4531
fortuna	4529
aeropuerto	4528
escuelas	4528
abuela	4524
droga	4522
levantó	4522
exceso	4518
disciplina	4517
reformas	4508
gana	4507
delitos	4506
difusión	4499
hombros	4497
oscar	4495
elegir	4492
tratando	4491
planeta	4491
mantenimiento	4490
civiles	4488
hice	4487
aznar	4485
afecta	4484
pierde	4484
dimensión	4481
ponen	4478
lima	4477
pobreza	4475
establecimiento	4474
oficio	4473
prestigio	4473
isabel	4469
círculo	4467
toros	4466
transición	4466
cumplimiento	4465
crea	4455
famoso	4446
gentes	4445
encargado	4443
lentamente	4443
avenida	4443
satisfacción	4442
matar	4438
pase	4433
aplicar	4432
viajes	4429
dictadura	4428
acompañado	4427
querer	4417
grados	4417
obtuvo	4416
colectivo	4416
ciu	4414
gabinete	4413
gracia	4411
chica	4411
indígenas	4411
expresa	4411
